team_number,opinion_mean_upm,opinion_var_upm,opinion_sum,opinion_median_upm,obs_mean_upm,obs_var_upm,obs_sum,obs_median_upm,command_mean_upm,command_var_upm,command_sum,command_median_upm,suggest_mean_upm,suggest_var_upm,suggest_sum,suggest_median_upm,thanks_mean_upm,thanks_var_upm,thanks_sum,thanks_median_upm,intentions_mean_upm,intentions_var_upm,intentions_sum,intentions_median_upm,questions_mean_upm,questions_var_upm,questions_sum,questions_median_upm,answers_mean_upm,answers_var_upm,answers_sum,answers_median_upm,emotionex_mean_upm,emotionex_var_upm,emotionex_sum,emotionex_median_upm,agree_mean_upm,agree_var_upm,agree_sum,agree_median_upm,humour_mean_upm,humour_var_upm,humour_sum,humour_median_upm,apology_mean_upm,apology_var_upm,apology_sum,apology_median_upm,encourage_mean_upm,encourage_var_upm,encourage_sum,encourage_median_upm,frust_mean_upm,frust_var_upm,frust_sum,frust_median_upm,disagree_mean_upm,disagree_var_upm,disagree_sum,disagree_median_upm,nontask_mean_upm,nontask_var_upm,nontask_sum,nontask_median_upm,misc_mean_upm,misc_var_upm,misc_sum,misc_median_upm
32,2.40,2.75,84.00,2.00,2.60,3.73,91.00,2.00,0.63,0.63,22.00,0.00,0.54,0.42,19.00,0.00,0.09,0.08,3.00,0.00,1.23,1.32,43.00,1.00,0.43,0.42,15.00,0.00,0.23,0.23,8.00,0.00,1.14,1.67,40.00,1.00,1.86,1.67,65.00,2.00,0.46,0.76,16.00,0.00,0.06,0.05,2.00,0.00,0.83,1.17,29.00,0.00,1.34,3.88,47.00,1.00,0.20,0.27,7.00,0.00,0.49,1.85,17.00,0.00,0.17,0.31,6.00,0.00
18,1.04,0.96,25.00,1.00,1.54,2.41,37.00,1.50,0.38,0.57,9.00,0.00,0.42,0.41,10.00,0.00,0.12,0.11,3.00,0.00,0.67,0.72,16.00,0.00,0.17,0.14,4.00,0.00,0.17,0.14,4.00,0.00,0.08,0.08,2.00,0.00,0.50,0.75,12.00,0.00,0.33,0.31,8.00,0.00,0.00,0.00,0.00,0.00,1.17,1.14,28.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.11,3.00,0.00,0.04,0.04,1.00,0.00
24,1.22,0.84,22.00,1.00,3.94,5.94,71.00,3.00,1.28,1.20,23.00,1.00,0.50,0.47,9.00,0.00,0.00,0.00,0.00,0.00,1.39,1.02,25.00,1.00,1.11,0.77,20.00,1.00,0.61,0.35,11.00,1.00,0.78,0.62,14.00,1.00,1.83,1.69,33.00,1.50,0.28,0.31,5.00,0.00,0.33,0.33,6.00,0.00,1.00,1.44,18.00,0.50,0.11,0.10,2.00,0.00,0.06,0.05,1.00,0.00,0.17,0.25,3.00,0.00,0.00,0.00,0.00,0.00
30,1.90,2.59,38.00,2.00,1.45,2.25,29.00,1.00,0.60,0.74,12.00,0.00,0.30,0.31,6.00,0.00,0.10,0.09,2.00,0.00,0.50,0.35,10.00,0.00,0.55,0.75,11.00,0.00,0.20,0.16,4.00,0.00,0.95,1.65,19.00,0.50,0.45,0.45,9.00,0.00,0.60,0.64,12.00,0.00,0.25,0.79,5.00,0.00,0.40,0.44,8.00,0.00,0.05,0.05,1.00,0.00,0.10,0.09,2.00,0.00,0.35,0.53,7.00,0.00,0.60,0.94,12.00,0.00
31,3.00,2.67,90.00,3.00,3.00,4.53,90.00,3.00,0.93,1.13,28.00,1.00,1.20,1.09,36.00,1.00,0.07,0.06,2.00,0.00,1.37,1.57,41.00,1.00,0.80,0.63,24.00,1.00,0.37,0.50,11.00,0.00,0.60,0.84,18.00,0.00,1.70,1.68,51.00,1.50,2.30,6.41,69.00,2.00,0.43,0.51,13.00,0.00,1.53,2.12,46.00,1.00,0.17,0.21,5.00,0.00,0.27,0.60,8.00,0.00,0.40,1.04,12.00,0.00,0.07,0.06,2.00,0.00
25,1.85,2.18,63.00,2.00,2.35,1.58,80.00,2.00,0.47,0.72,16.00,0.00,0.47,0.54,16.00,0.00,0.00,0.00,0.00,0.00,0.85,0.89,29.00,1.00,0.56,0.48,19.00,0.00,0.56,0.66,19.00,0.00,0.59,0.83,20.00,0.00,1.62,2.29,55.00,1.00,0.12,0.16,4.00,0.00,0.21,0.22,7.00,0.00,1.03,1.68,35.00,0.50,0.18,0.26,6.00,0.00,0.18,0.15,6.00,0.00,0.09,0.14,3.00,0.00,0.00,0.00,0.00,0.00
19,2.81,2.78,45.00,3.00,2.19,3.03,35.00,1.50,0.19,0.53,3.00,0.00,0.50,0.50,8.00,0.00,0.06,0.06,1.00,0.00,0.88,0.86,14.00,1.00,0.50,0.50,8.00,0.00,0.38,0.61,6.00,0.00,0.62,0.23,10.00,1.00,1.25,0.81,20.00,1.00,0.19,0.15,3.00,0.00,0.06,0.06,1.00,0.00,1.31,2.09,21.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,2.25,8.00,0.00,0.12,0.11,2.00,0.00
21,4.19,4.48,180.00,4.00,2.81,5.08,121.00,2.00,2.65,2.92,114.00,3.00,0.95,0.74,41.00,1.00,0.09,0.13,4.00,0.00,1.28,1.50,55.00,1.00,0.49,0.48,21.00,0.00,0.33,0.36,14.00,0.00,1.02,0.95,44.00,1.00,2.16,2.00,93.00,2.00,0.67,0.82,29.00,0.00,0.23,0.32,10.00,0.00,1.16,3.30,50.00,0.00,0.02,0.02,1.00,0.00,0.42,0.62,18.00,0.00,0.40,1.45,17.00,0.00,0.72,0.71,31.00,1.00
35,3.77,4.64,98.00,4.00,3.35,4.00,87.00,4.00,0.73,1.20,19.00,0.50,0.73,1.12,19.00,0.00,0.12,0.10,3.00,0.00,0.65,0.69,17.00,0.00,0.50,0.56,13.00,0.00,0.31,0.37,8.00,0.00,0.85,0.82,22.00,1.00,1.08,0.76,28.00,1.00,0.12,0.18,3.00,0.00,0.04,0.04,1.00,0.00,0.35,0.30,9.00,0.00,0.04,0.04,1.00,0.00,0.15,0.36,4.00,0.00,0.38,0.62,10.00,0.00,0.35,0.30,9.00,0.00
34,2.81,2.28,45.00,3.00,1.94,1.31,31.00,2.00,0.38,0.36,6.00,0.00,0.62,0.86,10.00,0.00,0.00,0.00,0.00,0.00,0.88,0.48,14.00,1.00,1.12,1.11,18.00,1.00,0.69,1.21,11.00,0.00,0.56,1.12,9.00,0.00,1.38,1.86,22.00,1.00,0.69,0.96,11.00,0.00,0.25,0.19,4.00,0.00,1.62,2.48,26.00,1.00,0.00,0.00,0.00,0.00,0.06,0.06,1.00,0.00,0.25,0.56,4.00,0.00,0.44,0.37,7.00,0.00
